namaste_code,namaste_system,icd_code,relationship
SR11 (AAA-1),ayurveda,SR11,equivalent
SR12 (AAA-2),ayurveda,SR12,equivalent
SR10  (AAA-2.1),ayurveda,SR10,equivalent
SR13(AAA-3),ayurveda,SR13,equivalent
SR14 (AAA-4),ayurveda,SR14,equivalent
SQ00 (AAB-1),ayurveda,SQ00,equivalent
SQ00 (AAB-1),ayurveda,SQ00,equivalent
SQ05(AAB-2),ayurveda,SQ05,equivalent
AAB-3 (SP9Y),ayurveda,SP9Y,equivalent
AAB-4 (SP9Y),ayurveda,SP9Y,equivalent
SP21 (AAB-5),ayurveda,SP21,equivalent
SM1P (AAB-7),ayurveda,SM1P,equivalent
SK84 (AAB-15),ayurveda,SK84,equivalent
SL02 (AAB-22),ayurveda,SL02,equivalent
AAB-25 (SM1Y),ayurveda,SM1Y,equivalent
SP97 (AAB-26),ayurveda,SP97,equivalent
SN41 (AAB-27),ayurveda,SN41,equivalent
SP61 (AAB-29),ayurveda,SP61,equivalent
SN4C (AAB-30),ayurveda,SN4C,equivalent
SP45 (AAB-33),ayurveda,SP45,equivalent
SM50 (AAB-35),ayurveda,SM50,equivalent
AAB-36 (SP1Y),ayurveda,SP1Y,equivalent
SK91 (AAB-38),ayurveda,SK91,equivalent
AAB-39(SP1Y),ayurveda,SP1Y,equivalent
AAB-40 (SP1Y),ayurveda,SP1Y,equivalent
SP95 (AAB-41),ayurveda,SP95,equivalent
AAB-42(SP98),ayurveda,SP98,equivalent
AAB-44 (SN9Y),ayurveda,SK54,equivalent
AAB-44 (SN9Y),ayurveda,SN9Y,equivalent
AAB-45 (SP9Y),ayurveda,SP9Y,equivalent
AAB-46(SK30),ayurveda,SK30,equivalent
AAB-48 (SM1Y),ayurveda,SM1Y,equivalent
SN60(AAB-49),ayurveda,SN60,equivalent
AAB-50(SN7Y),ayurveda,SN7Y,equivalent
AAB-53(SK21),ayurveda,SK21,equivalent
AAB-54(SK5Y),ayurveda,SK5Y,equivalent
AAB-55(SP4Y),ayurveda,SP4Y,equivalent
AAB-56(SP45),ayurveda,SP45,equivalent
SN4R(AAB-57),ayurveda,SN4R,equivalent
AAB-59(SP9Y),ayurveda,SP9Y,equivalent
SP42(AAB-61),ayurveda,SP42,equivalent
AAB-64(SP4Y),ayurveda,SP4Y,equivalent
AAB-65(SP9Y),ayurveda,SP9Y,equivalent
AAB-66(SP9Y),ayurveda,SP9Y,equivalent
AAB-68(SM7Y),ayurveda,SM7Y,equivalent
AAB-72(SK5Y),ayurveda,SK5Y,equivalent
SM1N(AAB-74),ayurveda,SM1N,equivalent
SM81(AAB-75),ayurveda,SM81,equivalent
SN42(AAB-77),ayurveda,SN42,equivalent
AAB-78(SP9Y),ayurveda,SP9Y,equivalent
AAB-79(SK0Y),ayurveda,SK0Y,equivalent
AAB-80(SP1Y),ayurveda,SP1Y,equivalent
AAB-82(SK7Y),ayurveda,SK7Y,equivalent
AAB-83(SP9Y),ayurveda,SP9Y,equivalent
AAB-84(SP9Y),ayurveda,SP9Y,equivalent
SK53(AAB-85),ayurveda,SK53,equivalent
AAB-86(SP9Y),ayurveda,SP9Y,equivalent
AAB-87(SP1Y),ayurveda,SP1Y,equivalent
AAB-87(SP1Y),ayurveda,SP1Y,equivalent
AAB-88(SP9Y),ayurveda,SP9Y,equivalent
AAB-89(SM37),ayurveda,SM37,equivalent
AAB-92(SN3Y),ayurveda,SN3Y,equivalent
AAB-93(SP4Y),ayurveda,SP4Y,equivalent
AAB-94(SP9Y),ayurveda,SP9Y,equivalent
AAB-95(SL7Y),ayurveda,SL7Y,equivalent
SN03(AAB-97),ayurveda,SN03,equivalent
SN07(AAB-99),ayurveda,SN07,equivalent
AAB-100(SP9Y),ayurveda,SP9Y,equivalent
AAB-103(SP9Y),ayurveda,SP9Y,equivalent
AAB-105(SP9Y),ayurveda,SP9Y,equivalent
AAB-107(SK52),ayurveda,SK52,equivalent
AAB-108(SP4Y),ayurveda,SP4Y,equivalent
SL62(AAB-110),ayurveda,SL62,equivalent
SL60(AAB-111),ayurveda,SL60,equivalent
AAC-1(SK30),ayurveda,SK30,equivalent
AAC-2(SK30),ayurveda,SK30,equivalent
AAC-3(SK30),ayurveda,SK30,equivalent
SK20(AAC-4),ayurveda,SK20,equivalent
AAC-5(SP0Y),ayurveda,SP0Y,equivalent
SP00(AAC-6),ayurveda,SP00,equivalent
SN08(AAC-7),ayurveda,SN08,equivalent
SP15(AAC-8),ayurveda,SP15,equivalent
SK55(AAC-9),ayurveda,SK55,equivalent
AAC-9.2(SK55),ayurveda,SK55,equivalent
AAC-10(SP2Y ),ayurveda,SP2Y,equivalent
SK30(AAC-11),ayurveda,SK30,equivalent
SM31(AAC-12),ayurveda,SM31,equivalent
AAC-12.1(SM31),ayurveda,SM31,equivalent
AAC-12.1(SM31),ayurveda,SM31,equivalent
AAC-13.1(SK30),ayurveda,SK30,equivalent
SM75(AAC-14),ayurveda,SM75,equivalent
AAC-15(SK22),ayurveda,SK22,equivalent
AAC-16(SK5Y),ayurveda,SK5Y,equivalent
AAC-17(SP10),ayurveda,SP10,equivalent
SP20(AAC-19),ayurveda,SP20,equivalent
SP41(AAC-20),ayurveda,SP41,equivalent
AAC-21(SK22),ayurveda,SK22,equivalent
SM83(AAC-22),ayurveda,SM83,equivalent
AAC-239(SK30),ayurveda,SK30,equivalent
AAC-24.3,ayurveda,SK22,equivalent
AAC-25(SP9Y),ayurveda,SP9Y,equivalent
AAC-26(SP9Y),ayurveda,SP9Y,equivalent
AAC-27(SM83),ayurveda,SM83,equivalent
AAC-29,ayurveda,SK30,equivalent
SK21(AAC-30),ayurveda,SK21,equivalent
SL21(AAC-31),ayurveda,SL21,equivalent
AAC-32,ayurveda,SP44,equivalent
SL07(AAC-33),ayurveda,SL07,equivalent
SP40(AAC-34),ayurveda,SP40,equivalent
SK51(AAC-35),ayurveda,SK51,equivalent
SK52(AAC-36),ayurveda,SK52,equivalent
AAC-37,ayurveda,SK5Y,equivalent
AAC-39(SL7Y),ayurveda,SL7Y,equivalent
SR20(AAD),ayurveda,SR20,equivalent
AAD-2.1(SR20),ayurveda,SR20,equivalent
AAD-2.2(SR20),ayurveda,SR20,equivalent
AAD-2.3(SR20),ayurveda,SR20,equivalent
AAD-2.4(SR20),ayurveda,SR20,equivalent
AAD-2.5(SR20),ayurveda,SR20,equivalent
AAD-2.6(SR20),ayurveda,SR20,equivalent
AAD-2.7(SR20),ayurveda,SR20,equivalent
AAD-2.8(SR20),ayurveda,SR20,equivalent
AAD-2.9(SR20),ayurveda,SR20,equivalent
AAD-2.10(SR20),ayurveda,SR20,equivalent
AAD-2.11(SR20),ayurveda,SR20,equivalent
AAD-2.12(SR20),ayurveda,SR20,equivalent
AAD-3.1(SR20),ayurveda,SR20,equivalent
AAD-3.2(SR20),ayurveda,SR20,equivalent
AAD-3.3(SR20),ayurveda,SR20,equivalent
AAD-3.4(SR20),ayurveda,SR20,equivalent
AAD-3.5(SR20),ayurveda,SR20,equivalent
AAD-3.6(SR20),ayurveda,SR20,equivalent
AAD-3.7(SR20),ayurveda,SR20,equivalent
AAD-4(SR20),ayurveda,SR20,equivalent
AAD-4.1(SR20),ayurveda,SR20,equivalent
AAD-5(SR20),ayurveda,SR20,equivalent
SP12(AAE-16),ayurveda,SP12,equivalent
SR16(ABA-1),ayurveda,SR16,equivalent
SR17(ABA-2),ayurveda,SR17,equivalent
SR15(ABA-2.1),ayurveda,SR15,equivalent
SR18(ABA-3),ayurveda,SR18,equivalent
SR19(ABA-4),ayurveda,SR19,equivalent
ABB-1(SK7Y),ayurveda,SK7Y,equivalent
SN44(ABB-2),ayurveda,SN44,equivalent
ABB-3(SP9Y),ayurveda,SP9Y,equivalent
ABB-5(SM7Y),ayurveda,SM7Y,equivalent
ABB-6(SM7Y),ayurveda,SM7Y,equivalent
ABB-7(SM3Y),ayurveda,SM3Y,equivalent
ABB-8(SP9Y),ayurveda,SP9Y,equivalent
SM10(ABB-9),ayurveda,SM10,equivalent
SM10(ABB-9),ayurveda,SM10,equivalent
ABB-10(SP9Y),ayurveda,SP9Y,equivalent
ABB-11(SP9Y),ayurveda,SP9Y,equivalent
