namaste_code,name
AYU,vyādhi-viniścayaḥ
DIS,vikāraḥ
A,dōṣavaiṣamyam
AA,vātavyādhiḥ
AAA,dōṣāvasthā
SR11,vātasañcayaḥ
SR12,vātavṛddhiḥ
SR10,vātaprakopaḥ
AAA-2.2,prāṇavātakōpaḥ
AAA-2.3,udānavātakōpaḥ
AAA-2.4,vyānavātakōpaḥ
AAA-2.5,samānavātakōpaḥ
AAA-2.6,apānavātakōpaḥ
SR13(AAA-3),vātaprasaraḥ
SR14,vātakṣayaḥ
AAB,nānātmajavātavikāraḥ
SQ00,atipralāpaḥ
SQ05(AAB-2),anavasthitacittatvam
AAB-3,aṅgamardaḥ
AAB-4,aṅgaśuṣkatā
SP21,aṅgavibhraṁśaḥ
AAB-6,arditaḥ
SM1P (AAB-7),arasajñatā
AAB-8,aśabdaśravaṇam
AAB-9,asvapnaḥ
AAB-10,akṣibhēdaḥ
AAB-11,akṣivyudāsaḥ
AAB-12,akṣiśūlaḥ
AAB-13,āṭōpaḥ
AAB-14,ākṣēpakaḥ
SK84 (AAB-15),uccaiḥśrutiḥ
AAB-16,udarāvēṣṭaḥ
AAB-17,udāvartaḥ
AAB-18,ūrustambhaḥ/āḍhyavātaḥ
AAB-19,ūrusādaḥ
AAB-20,ēkāṅgarōgaḥ
AAB-21,ōṣṭhabhēdaḥ
SL02 (AAB-22),kaṇṭhodhvaṃsaḥ
AAB-23,karṇaśūlaḥ
AAB-24,kampaḥ/vēpathuḥ
AAB-25,kaṣāyāsyatā
SP97,klamaḥ
SN41,kārṣṇyam
AAB-28,kubjatvam
SP61,kārśyam
SN4C,keśabhūmisphuṭanam
AAB-31,khañjaḥ/khañjatvam
AAB-32,garbhanāśaḥ
SP45,grīvāstambhaḥ
AAB-34,gudabhraṁśaḥ
SM50,gudārtiḥ
AAB-36,gulpha-grahaḥ
AAB-37,gr̥dhrasī
SK91,ghrāṇanāśaḥ
AAB-39(SP1Y),jānubhedaḥ
AAB-40,jānuviśleṣaḥ
SP95,jr̥mbhā
AAB-42(SP98),tamaḥ
AAB-43,timiraḥ
AAB-44,prasuptiḥ
AAB-45,todaḥ
AAB-46(SK30),daṇḍakaḥ
AAB-47,dantabhēdaḥ
AAB-48,dantaśaithilyam
SN60(AAB-49),nakhabhedaḥ
AAB-50(SN7Y),hrasvakeśaḥ
AAB-51,nirāmavātaḥ
AAB-52,pakṣāghātaḥ/pakṣavadhaḥ
AAB-53(SK21),pāṅgulyam
AAB-54(SK5Y),pādabhraṃśaḥ
AAB-55(SP4Y),pādaśūlaḥ
AAB-56(SP45),pādasuptatā
SN4R(AAB-57),pāruṣyam
AAB-58,pārśvāvamardaḥ
AAB-59(SP9Y),piṇḍikodveṣṭanam
AAB-60,purīṣātigāḍhatvam
SP42(AAB-61),pṛṣṭha-grahaḥ
AAB-62,pralāpakaḥ
AAB-63,bādhiryam
AAB-64(SP4Y),bāhuśoṣaḥ
AAB-65(SP9Y),balahāniḥ
AAB-66(SP9Y),bhedaḥ
AAB-67,nan
AAB-68(SM7Y),mala-apravṛtiḥ
AAB-69,mūkatvam
AAB-70,mōhaḥ
AAB-71,bhramaḥ
AAB-72(SK5Y),bhrūvyudāsaḥ
AAB-73,nan
SM1N(AAB-74),mukhaśoṣaḥ
SM81(AAB-75),mūtranigrahaḥ
AAB-76,rajōnāśaḥ
SN42(AAB-77),raukṣyam
AAB-78(SP9Y),lomaharṣaḥ
AAB-79(SK0Y),lalāṭabhedaḥ
AAB-80(SP1Y),trikagrahaḥ
AAB-81,vartmastambhaḥ
AAB-82(SK7Y),vartmasaṅkocaḥ
AAB-83(SP9Y),vakṣoparodhaḥ
AAB-84(SP9Y),vakṣastodaḥ
SK53(AAB-85),vāk-saṅgaḥ
AAB-86(SP9Y),vācālatā
AAB-87(SP1Y),"vātakhuḍḍatā,"
AAB-88(SP9Y),vāmanatvam
AAB-89(SM37),viḍ-bhedaḥ
AAB-90,vipādikā
AAB-91(SQ04),viṣādaḥ dīnatā
AAB-92(SN3Y),vṛṣaṇākṣepaḥ
AAB-93(SP4Y),vaṅkṣaṇānāhaḥ
AAB-94(SP9Y),vyathā
AAB-95(SL7Y),śirāsphūrtiḥ
AAB-96,śirōruk
SN03(AAB-97),śukrakṣayaḥ
AAB-98,śaṅkhabhēdaḥ
SN07(AAB-99),śephastambhaḥ
AAB-100(SP9Y),śaityam
AAB-101,śyāvāruṇāsyatā
AAB-102,śrōṇibhēdaḥ
AAB-103(SP9Y),saṅkocaḥ
AAB-104,svēdanāśaḥ
AAB-105(SP9Y),śramaḥ
AAB-106,sarvāṅgarōgaḥ/sarvāṅgavātaḥ
AAB-107(SK52),stambhaḥ
AAB-108(SP4Y),hanubhedaḥ
AAB-109,hikkā
SL62(AAB-110),hṛddravaḥ
SL60(AAB-111),hṛnmohaḥ
AAC,sāmānyajavātavikāraḥ
AAC-1(SK30),antarāyāmaḥ
AAC-2(SK30),apatantrakaḥ
AAC-2.1,asādhya-apatantrakaḥ
AAC-3(SK30),apatānakaḥ
SK20(AAC-4),arditaḥ
AAC-4.1,ardita-pūrvarupam
AAC-4.2,asādhya-arditaḥ
AAC-5(SP0Y),asthiprabhedaḥ
SP00(AAC-6),asthiśoṣaḥ
SN08(AAC-7),vātāṣṭhīlā
SP15(AAC-8),avabāhukaḥ
SK55(AAC-9),ūrustambhaḥ
AAC-9.1,ūrustambha-pūrvarūpam
AAC-9.2(SK55),asādhya-ūrustambhaḥ
AAC-10(SP2Y ),aṃsaśoṣaḥ
SK30(AAC-11),ākṣepakaḥ
SM31(AAC-12),ādhmānam
AAC-12.1(SM31),"pratyādhmānaḥ,"
AAC-13(SK30),bahirāyāmaḥ bāhyāyāmaḥ dhanuḥstambhaḥ
AAC-13.1(SK30),asādhyadhanuṣkaṃpa
SM75(AAC-14),ūrdhvavātaḥ
AAC-15(SK22),ekāṅgavātaḥ
AAC-16(SK5Y),kalāyakhañjaḥ
AAC-17(SP10),kroṣṭukaśīrṣaḥ
AAC-18(SK2Y),khañjaḥ khañjatvam
SP20(AAC-19),khallī
SP41(AAC-20),gṛdhrasī
AAC-20.1,vātikagr̥dhrasī
AAC-20.2,vātakaphaja-gr̥dhrasī
AAC-21(SK22),jihvāstambhaḥ
SM83(AAC-22),tūnī
AAC-239(SK30),daṇḍāpatānakaḥ
SK22(AAC-24),pakṣāghāta pakṣavadhaḥ
AAC-24.1,kaphānvitapakṣāghātaḥ
AAC-24.2,pittānvitapakṣāghātaḥ
AAC-24.3,bāla-pakṣāghātaḥ
AAC-25(SP9Y),pādadāhaḥ
AAC-26(SP9Y),pādaharṣaḥ
AAC-27(SM83),pratitūnī
AAC-28,pratyaṣṭhīlā
AAC-29,vraṇāyāmaḥ
SK21(AAC-30),paṅguḥ
SL21(AAC-31),minminaḥ
AAC-32,manyāstambhaḥ
SL07(AAC-33),mūkatvam
SP40(AAC-34),vātakaṇṭakam
SK51(AAC-35),viśvācī
SK52(AAC-36),kampaḥ
AAC-37,śirōgrahaḥ
AAC-38(SK22),sarvāṅgavātaḥ/ sarvāṅgarogaḥ
AAC-39(SL7Y),sirāgrahaḥ
AAC-40(SK5Y),hanugrahaḥ hanusraṃsa
SR20(AAD),āvaraṇa
AAD-1,anyōnyāvaraṇaḥ/paraspara-āvaraṇaḥ
AAD-1.1,prāṇāvr̥tavyānavātaḥ
AAD-1.2,vyānāvr̥taprāṇavātaḥ
