namaste_code,name
SID,Siddha
DIS,Disorder
A,Vaḷarcitai Māṟṟa Nōykaḷ
AA,Kallīral Nōy
AAA,Vaḷi
AAA1.1,Vaḷi Kallīral Nōy
AAB,Aẕal
AAB1.1,Aẕal Kallīral Nōy
AAC,Aiyam
AAC1,Aiya Kallīral Nōy
AB,Mañcaḷ Nōy
ABA,Vaḷi
ABA1.1,Vaḷi Mañcaḷ Nōy
ABA1.2,Kumpa Mañcaḷ Nōy
ABA1.3,nan
ABB,Aẕal
ABB1.1,Aẕal Mañcaḷ Nōy
ABB1.2,Aẕal Aiya Mañcaḷ Nōy
ABB1.3,Ūtu Mañcaḷ Nōy
ABB1.4,Vaṟaṭṭu Mañcaḷ Nōy
ABB1.5,Peru Mañcaḷ Nōy
ABB1.6,Aẕaku Mañcaḷ Nōy
ABB1.7,Ceṅkamala Mañcaḷ Nōy
ABC,Aiyam
ABC1.1,Aiya Mañcaḷ Nōy
ABC1.2,Kuṉma Mañcaḷ Nōy
ABD,Mukkuṟṟam
ABD1.1,nan
AC,Maṇṇīral Nōy
ACA,Vaḷi
ACA1.1,Vaḷi Maṇṇīral Nōy
ACB,Aẕal
ACB1.1,Aẕal Maṇṇīral Nōy
ACC,Aiyam
ACC1.1,Aiya Maṇṇīral Nōy
ACD,Mukkuṟṟam
ACD1.1,Mukkuṟṟa Maṇṇīral Nōy
AD,Nīr Vēṭkai Nōy
ADA,Vaḷi
ADA1.1,Vaḷi Nīr Vēṭkai Nōy
ADB,Aẕal
ADB1.1,Aẕal Nīr Vēṭkai Nōy
ADB1.2,Iraca Nīr Vēṭkai Nōy
ADC,Aiyam
ADC1.1,Aiya Nīr Vēṭkai Nōy
ADC1.2,Ceriyā Nīr Vēṭkai Nōy
ADD,Mukkuṟṟam
ADD1.1,Mukkuṟṟa Nīr Vēṭkai Nōy
AE,Ūtal Nōy
AEA,Vaḷi
AEA1.1,Vaḷi Ūtal Nōy
AEB,Aẕal
AEB1.1,Aẕal Ūtal Nōy
