namaste_code,name
O-6,Ruṭūbat Gharīziyya
UM,nan
UM-DIS,nan
A,Amrāḍ-i-Niẓām-i-A‘ṣāb-o-Dimāgh
A-1,Bayḍa-o-Khūdha
A-2,Shaqīqa
A-2.1,Shaqīqa Ḥārra
A-2.2,Shaqīqa Bārida
A-3,‘Iṣāba
A-4,Ḥiss-i-Dimāgh
A-5,Sarsām
A-5.1,Sarsām Damawī/ Qarānīṭus
A-5.2,Sarsām Ṣafrāwī/ Qarānīṭus Khāliṣ
A-5.3,Sarsām Sawdāwī
A-5.4,Sarsām Balghamī/ Lītharghus
A-5.5,Sarsām Ḥaqīqī
A-5.6,Sarsām Ghayr Ḥaqīqī
A-6,Falghamūnī Dimāghī
A-7,Shafāqalūs Dimāghī
A-8,Ḥumra Dimāghiyya
A-9,‘Uṭāsh
A-10,Māshrā
A-11,Mā’ al-Ra’s
A-12,Subāt
A-12.1,Subāt Sahrī
A-12.2,Subāt Bārid
A-12.3,Subāt Ruṭūbī
A-12.4,Subāt Damawī
A-12.5,Subāt Bukhārī
A-12.6,Subāt Ḍu‘fī
A-12.7,Subāt Ḍarbī
A-13,Sahar
A-13.1,Sahar Yābis
A-13.2,Sahar Ruṭūbī
A-14,Nisyān
A-14.1,Nisyān Bārid Raṭb
A-14.2,Nisyān Bārid Yābis
A-14.3,Nisyān Ḥārr Yābis
A-15,Ikhtlāṭ al-Dhahn
A-16,Hadhayān
A-17,Ḥumq
A-18,Ru‘ūnat
A-19,Mālankhūliyā
A-19.1,Mālankhūliyā Damawī
A-19.2,Mālankhūliyā Balghamī
A-19.3,Mālankhūliyā Ṣafrāwī
A-19.4,Mālankhūliyā Sawdāwī
A-19.5,Quṭrub/ ‘Illa al-Dhi’b/ Junūn Dhi’bī
A-19.6,Mālankhūliya Marāqī/ Nafkh Marāqī/ Marāqiyya/ ‘Illat Nāfikha/Sharsūfiya
A-20,Junūn/ Waswās
A-21,Māniyā/ Junūn Saba‘ī
A-22,Dā’ al-Kalb
A-23,Ṣubārā
A-24,‘Ishq
A-25,Sadr-o-Duwār
A-25.1,Sadr-o-Duwār Dimāghī Damawī
A-25.2,Sadr-o-Duwār Dimāghī Balghamī
A-25.3,Sadr-o-Duwār Dimāghī Ṣafrāwī
A-25.4,Sadr-o-Duwār Dimāghī Sawdāwī
A-25.5,Sadr-o-Duwār Shirkī
A-26,Lawā-o-Fayḥadhaj/ Bījīdhaq/ Al-Lawā
A-27,Kābūs/ Al-Khāniq/ Al-Jāthūm wa’l Nīdlān/ Khānūq/ Ḍāghūṭ
A-27.1,Kābūs Damawī
A-27.2,Kābūs Balghamī
A-27.3,Kābūs Bārid
A-28,Ṣar‘
A-28.1,Ṣar‘ Dimāghī Sawdāwī
A-28.2,Ṣar‘ Dimāghī Aṣlī
A-28.3,Ṣar‘ Shirkī
A-28.4,Ṣar‘ Las‘ī
A-28.5,Ṣar‘ al-Aṭfāl
A-28.6,Ṣar‘ Badanī
A-28.7,Ṣar‘ Aṭrāfī
A-28.8,Ṣar‘ Raḥimī
A-28.9,Ṣar‘ Khababī
A-28.10,Ṣar‘ Khafīf
A-28.11,Ṣar‘ Shadīd
A-28.12,Ṣar‘ Ḍarbī
A-28.13,Ṣar‘ Qalbī
A-28.14,Ṣar‘ Laylī
A-28.15,Ṣar‘ Marāqī
A-28.16,Ṣar‘ Nahārī
A-28.17,Ṣar‘ Shirkī Mi‘dī
A-28.18,Ṣar‘ Ḥissī
A-29,Sakta
